shipment_id,order_id,warehouse_id,vehicle_id,driver_id,route_id,dispatch_date,expected_delivery_date,actual_delivery_date,shipment_weight,shipping_cost,status,delivery_type
SHP0055,ORD0055,WH008,VEH003,DRV034,RT010,2024-05-28,2024-06-02,2024-06-02,784.61,4296.27,Returned,Inter-City
SHP0056,ORD0056,WH010,VEH008,DRV010,RT011,2025-08-01,2025-08-02,2025-08-01,26.17,130.92,Delivered,Local
SHP0057,ORD0057,WH005,VEH019,DRV040,RT007,2024-06-28,2024-06-30,2024-07-01,189.03,1263.1,Delayed,Inter-City
SHP0058,ORD0058,WH004,VEH010,DRV050,RT005,2025-03-16,2025-03-20,2025-03-18,562.05,4285.73,Delivered,Inter-City
SHP0059,ORD0059,WH007,VEH020,DRV045,RT001,2025-07-25,2025-07-29,2025-07-29,401.0,1085.23,Delivered,Inter-City
SHP0060,ORD0060,WH007,VEH001,DRV042,RT015,2024-06-27,2024-07-03,2024-07-03,312.95,2396.63,Delivered,Inter-City
SHP0061,ORD0061,WH004,VEH017,DRV039,RT008,2024-11-29,2024-12-05,2024-12-10,908.32,5360.12,Delayed,Local
SHP0062,ORD0062,WH009,VEH005,DRV043,RT018,2024-01-18,2024-01-25,2024-01-24,828.87,6119.97,Delivered,Inter-City
SHP0063,ORD0063,WH007,VEH004,DRV010,RT019,2025-09-16,2025-09-20,2025-09-20,344.63,1824.99,Returned,Local
SHP0064,ORD0064,WH003,VEH013,DRV038,RT012,2025-07-11,2025-07-17,2025-07-17,436.97,1571.45,Delivered,Local
SHP0065,ORD0065,WH009,VEH013,DRV037,RT013,2024-12-18,2024-12-22,2024-12-20,77.44,540.17,Delivered,Local
SHP0066,ORD0066,WH001,VEH018,DRV031,RT014,2024-04-10,2024-04-16,2024-04-14,882.88,5826.08,Delivered,Inter-City
SHP0067,ORD0067,WH009,VEH011,DRV037,RT011,2024-05-03,2024-05-06,2024-05-06,844.09,5624.43,In Transit,Local
SHP0068,ORD0068,WH007,VEH018,DRV010,RT008,2025-08-24,2025-08-31,2025-08-30,850.51,3088.55,Delivered,Inter-City
SHP0069,ORD0069,WH001,VEH001,DRV011,RT016,2024-08-17,2024-08-18,2024-08-18,669.38,3402.72,Delivered,Inter-City
SHP0070,ORD0070,WH010,VEH013,DRV025,RT003,2024-02-26,2024-02-27,2024-02-26,506.38,1240.8,Delivered,Inter-City
SHP0071,ORD0071,WH004,VEH020,DRV022,RT001,2024-02-19,2024-02-20,2024-02-19,530.17,3007.34,Delivered,Local
SHP0072,ORD0072,WH005,VEH003,DRV019,RT020,2024-03-15,2024-03-22,2024-03-20,324.79,1532.63,Delivered,Inter-City
SHP0073,ORD0073,WH003,VEH017,DRV013,RT019,2025-03-29,2025-04-04,2025-04-03,628.84,1447.46,Delivered,Inter-City
SHP0074,ORD0074,WH006,VEH008,DRV041,RT009,2024-10-03,2024-10-04,2024-10-03,443.45,2480.22,Delivered,Inter-City
SHP0075,ORD0075,WH007,VEH006,DRV004,RT015,2024-05-23,2024-05-29,2024-05-29,406.2,2915.74,Returned,Local
SHP0076,ORD0076,WH003,VEH020,DRV009,RT012,2024-01-20,2024-01-25,2024-01-25,747.13,3700.21,Delivered,Inter-City
SHP0077,ORD0077,WH008,VEH013,DRV004,RT006,2025-08-01,2025-08-07,2025-08-05,71.46,476.38,Delivered,Local
SHP0078,ORD0078,WH001,VEH013,DRV034,RT018,2024-09-26,2024-09-27,2024-09-27,970.45,3096.35,In Transit,Local
SHP0079,ORD0079,WH008,VEH008,DRV006,RT005,2024-11-17,2024-11-20,2024-11-22,206.61,1548.52,Delayed,Local
SHP0080,ORD0080,WH007,VEH004,DRV030,RT018,2024-03-22,2024-03-26,2024-03-26,208.89,1666.25,Delivered,Inter-City
SHP0081,ORD0081,WH003,VEH004,DRV006,RT020,2024-06-16,2024-06-17,2024-06-16,117.06,761.13,Delivered,Inter-City
SHP0082,ORD0082,WH004,VEH017,DRV043,RT011,2024-05-15,2024-05-19,2024-05-18,548.38,4309.5,Delivered,Inter-City
SHP0083,ORD0083,WH007,VEH004,DRV013,RT007,2025-04-03,2025-04-04,2025-04-02,547.46,2103.66,Delivered,Inter-City
SHP0084,ORD0084,WH010,VEH002,DRV047,RT006,2025-08-15,2025-08-18,2025-08-18,145.15,634.82,Delivered,Inter-City
SHP0085,ORD0085,WH009,VEH002,DRV007,RT014,2024-10-09,2024-10-12,2024-10-12,240.32,776.08,Delivered,Local
SHP0086,ORD0086,WH005,VEH004,DRV026,RT016,2025-07-01,2025-07-02,2025-07-02,905.52,5836.53,Delivered,Inter-City
SHP0087,ORD0087,WH008,VEH017,DRV011,RT006,2024-03-17,2024-03-18,2024-03-18,640.87,4658.54,Delivered,Local
SHP0088,ORD0088,WH010,VEH018,DRV012,RT004,2025-10-05,2025-10-07,2025-10-06,521.83,4092.23,Delivered,Inter-City
SHP0089,ORD0089,WH003,VEH019,DRV035,RT011,2025-05-18,2025-05-25,2025-05-23,688.35,3185.4,Delivered,Local
SHP0090,ORD0090,WH007,VEH008,DRV035,RT008,2024-04-27,2024-05-04,2024-05-02,181.33,1104.15,Delivered,Inter-City
SHP0091,ORD0091,WH006,VEH014,DRV002,RT011,2024-08-22,2024-08-27,2024-08-31,959.97,2051.95,Delayed,Inter-City
SHP0092,ORD0092,WH010,VEH018,DRV047,RT014,2025-02-16,2025-02-22,2025-02-22,456.31,2829.43,Delivered,Inter-City
SHP0093,ORD0093,WH007,VEH016,DRV016,RT013,2025-06-14,2025-06-21,2025-06-21,860.8,1801.46,Delivered,Inter-City
SHP0094,ORD0094,WH001,VEH013,DRV035,RT005,2024-03-27,2024-04-02,2024-04-02,184.55,1065.79,Delivered,Local
SHP0095,ORD0095,WH006,VEH006,DRV006,RT013,2025-11-26,2025-12-03,2025-12-01,369.21,2460.31,Delivered,Inter-City
SHP0096,ORD0096,WH009,VEH015,DRV007,RT009,2025-02-18,2025-02-23,2025-02-25,733.83,3769.7,Delayed,Inter-City
SHP0097,ORD0097,WH003,VEH003,DRV037,RT005,2024-12-01,2024-12-06,2024-12-10,969.07,6327.81,Delayed,Inter-City
SHP0098,ORD0098,WH001,VEH018,DRV038,RT018,2025-11-29,2025-12-02,2025-12-02,432.81,2447.01,Delivered,Inter-City
SHP0099,ORD0099,WH005,VEH018,DRV002,RT006,2024-05-09,2024-05-10,2024-05-09,799.39,6162.02,Delivered,Inter-City
SHP0100,ORD0100,WH004,VEH018,DRV028,RT020,2025-12-09,2025-12-12,2025-12-12,509.82,1912.44,Returned,Inter-City
SHP0101,ORD0101,WH003,VEH010,DRV039,RT011,2025-09-16,2025-09-21,2025-09-19,631.37,3714.74,Delivered,Inter-City
SHP0102,ORD0102,WH005,VEH012,DRV029,RT018,2025-06-03,2025-06-07,2025-06-07,696.8,3239.03,Delivered,Inter-City
SHP0103,ORD0103,WH006,VEH006,DRV016,RT018,2025-02-15,2025-02-19,2025-02-19,393.54,1249.86,In Transit,Inter-City
SHP0104,ORD0104,WH003,VEH001,DRV040,RT015,2024-10-08,2024-10-12,2024-10-12,963.71,2294.48,Delivered,Inter-City
SHP0105,ORD0105,WH008,VEH016,DRV040,RT018,2025-05-19,2025-05-23,2025-05-21,154.17,885.22,Delivered,Inter-City
SHP0106,ORD0106,WH007,VEH017,DRV032,RT005,2024-05-12,2024-05-15,2024-05-13,578.92,2873.44,Delivered,Inter-City
SHP0107,ORD0107,WH001,VEH018,DRV021,RT017,2024-01-01,2024-01-05,2024-01-05,645.33,3932.66,In Transit,Local
SHP0108,ORD0108,WH004,VEH012,DRV004,RT009,2024-01-31,2024-02-06,2024-02-09,756.79,3285.17,Delayed,Inter-City
SHP0109,ORD0109,WH010,VEH011,DRV044,RT015,2025-08-05,2025-08-06,2025-08-06,674.65,2029.02,Delivered,Local
SHP0110,ORD0110,WH009,VEH006,DRV050,RT011,2025-01-18,2025-01-21,2025-01-20,186.64,959.61,Delivered,Inter-City
SHP0111,ORD0111,WH008,VEH019,DRV026,RT007,2024-05-23,2024-05-26,2024-05-24,297.69,1735.48,Delivered,Inter-City
SHP0112,ORD0112,WH003,VEH018,DRV048,RT019,2024-10-02,2024-10-09,2024-10-08,831.16,2770.41,Delivered,Inter-City
SHP0113,ORD0113,WH004,VEH018,DRV037,RT004,2024-12-14,2024-12-18,2024-12-18,264.42,1614.76,Delivered,Inter-City
SHP0114,ORD0114,WH006,VEH006,DRV035,RT011,2025-05-09,2025-05-11,2025-05-10,392.13,3063.23,Delivered,Local
SHP0115,ORD0115,WH003,VEH013,DRV038,RT008,2025-12-12,2025-12-14,2025-12-17,532.09,3559.73,Delayed,Local
SHP0116,ORD0116,WH006,VEH004,DRV015,RT017,2024-04-18,2024-04-23,2024-04-21,394.26,1653.85,Delivered,Inter-City
SHP0117,ORD0117,WH008,VEH017,DRV017,RT013,2025-07-26,2025-07-29,2025-07-29,611.83,3998.88,Delivered,Local
SHP0118,ORD0118,WH005,VEH009,DRV015,RT001,2024-07-17,2024-07-20,2024-07-18,625.06,4542.0,Delivered,Inter-City
SHP0119,ORD0119,WH009,VEH019,DRV005,RT004,2025-05-07,2025-05-12,2025-05-11,168.99,539.9,Delivered,Inter-City
SHP0120,ORD0120,WH006,VEH019,DRV016,RT009,2024-02-08,2024-02-09,2024-02-09,839.37,2737.28,Returned,Local
SHP0121,ORD0121,WH005,VEH003,DRV021,RT010,2025-04-09,2025-04-10,2025-04-09,828.46,2662.49,Delivered,Inter-City
SHP0122,ORD0122,WH004,VEH006,DRV024,RT020,2024-08-07,2024-08-14,2024-08-14,422.39,2689.38,Returned,Inter-City
SHP0123,ORD0123,WH009,VEH004,DRV016,RT014,2025-04-03,2025-04-10,2025-04-09,50.56,392.28,Delivered,Inter-City
SHP0124,ORD0124,WH005,VEH005,DRV045,RT004,2024-10-17,2024-10-24,2024-10-24,40.02,165.01,Delivered,Inter-City
SHP0125,ORD0125,WH008,VEH013,DRV040,RT017,2024-05-04,2024-05-10,2024-05-10,593.78,2872.31,Returned,Local
SHP0126,ORD0126,WH001,VEH020,DRV047,RT005,2025-05-04,2025-05-05,2025-05-04,364.18,1241.88,Delivered,Local
SHP0127,ORD0127,WH009,VEH017,DRV036,RT012,2025-02-15,2025-02-17,2025-02-17,935.5,4999.72,Delivered,Inter-City
SHP0128,ORD0128,WH007,VEH014,DRV004,RT011,2025-08-20,2025-08-25,2025-08-24,793.33,3727.6,Delivered,Local
SHP0129,ORD0129,WH008,VEH009,DRV020,RT006,2024-05-21,2024-05-25,2024-05-23,341.2,1372.89,Delivered,Inter-City
SHP0130,ORD0130,WH005,VEH018,DRV041,RT011,2025-08-25,2025-08-29,2025-08-28,797.62,3113.88,Delivered,Inter-City
SHP0131,ORD0131,WH010,VEH010,DRV012,RT017,2024-05-11,2024-05-14,2024-05-12,910.93,7110.54,Delivered,Inter-City
SHP0132,ORD0132,WH007,VEH011,DRV002,RT005,2024-01-07,2024-01-08,2024-01-09,160.16,615.18,Delayed,Local
SHP0133,ORD0133,WH004,VEH019,DRV042,RT008,2024-03-15,2024-03-17,2024-03-17,644.44,4482.02,Delivered,Local
SHP0134,ORD0134,WH002,VEH011,DRV021,RT003,2024-08-01,2024-08-02,2024-08-01,343.23,756.05,Delivered,Inter-City
SHP0135,ORD0135,WH004,VEH014,DRV036,RT006,2025-11-29,2025-11-30,2025-11-30,287.49,1065.49,In Transit,Inter-City
SHP0136,ORD0136,WH009,VEH017,DRV040,RT013,2025-01-30,2025-02-04,2025-02-09,995.12,4919.65,Delayed,Inter-City
SHP0137,ORD0137,WH008,VEH008,DRV028,RT015,2025-10-14,2025-10-21,2025-10-20,720.76,2707.18,Delivered,Inter-City
SHP0138,ORD0138,WH007,VEH005,DRV048,RT001,2024-05-12,2024-05-15,2024-05-13,984.87,6127.97,Delivered,Inter-City
SHP0139,ORD0139,WH006,VEH010,DRV014,RT003,2025-06-22,2025-06-24,2025-06-24,709.03,4854.29,Delivered,Local
SHP0140,ORD0140,WH002,VEH005,DRV013,RT003,2024-05-09,2024-05-11,2024-05-09,147.5,1039.43,Delivered,Inter-City
SHP0141,ORD0141,WH001,VEH010,DRV040,RT003,2024-03-01,2024-03-05,2024-03-05,739.6,5408.62,Returned,Inter-City
SHP0142,ORD0142,WH009,VEH008,DRV027,RT009,2025-05-16,2025-05-18,2025-05-20,718.96,3435.99,Delayed,Inter-City
SHP0143,ORD0143,WH001,VEH018,DRV011,RT016,2025-02-17,2025-02-22,2025-02-20,91.66,434.12,Delivered,Inter-City
SHP0144,ORD0144,WH003,VEH012,DRV031,RT015,2024-11-24,2024-11-27,2024-11-30,564.23,2027.72,Delayed,Inter-City
SHP0145,ORD0145,WH003,VEH013,DRV010,RT019,2024-02-03,2024-02-06,2024-02-06,620.52,3143.29,Delivered,Inter-City
SHP0146,ORD0146,WH008,VEH013,DRV043,RT018,2024-09-03,2024-09-09,2024-09-09,395.53,2094.82,Delivered,Local
SHP0147,ORD0147,WH003,VEH015,DRV008,RT016,2024-06-28,2024-06-29,2024-06-28,689.05,2198.02,Delivered,Local
SHP0148,ORD0148,WH004,VEH019,DRV042,RT019,2024-07-09,2024-07-16,2024-07-17,329.19,999.18,Delayed,Local
SHP0149,ORD0149,WH010,VEH019,DRV040,RT007,2025-02-25,2025-02-27,2025-02-27,734.14,4989.52,Delivered,Inter-City
SHP0150,ORD0150,WH010,VEH003,DRV041,RT010,2024-08-29,2024-09-03,2024-09-01,148.15,1093.38,Delivered,Inter-City
SHP0151,ORD0151,WH006,VEH012,DRV045,RT008,2025-08-14,2025-08-21,2025-08-19,207.17,1105.39,Delivered,Inter-City
SHP0152,ORD0152,WH005,VEH009,DRV027,RT004,2025-05-15,2025-05-21,2025-05-25,738.43,5386.87,Delayed,Inter-City
SHP0153,ORD0153,WH004,VEH006,DRV026,RT010,2024-09-10,2024-09-11,2024-09-09,335.96,2416.43,Delivered,Inter-City
SHP0154,ORD0154,WH010,VEH016,DRV040,RT004,2024-07-03,2024-07-07,2024-07-05,825.74,5915.34,Delivered,Local
SHP0155,ORD0155,WH008,VEH001,DRV012,RT019,2024-06-27,2024-07-01,2024-07-01,166.28,662.9,Delivered,Inter-City
SHP0156,ORD0156,WH010,VEH015,DRV049,RT017,2025-05-24,2025-05-30,2025-05-30,218.17,1363.02,Delivered,Inter-City
SHP0157,ORD0157,WH006,VEH005,DRV038,RT018,2025-06-15,2025-06-17,2025-06-17,153.49,1055.08,Delivered,Inter-City
SHP0158,ORD0158,WH002,VEH005,DRV024,RT013,2024-02-25,2024-03-01,2024-03-01,177.4,1295.06,Delivered,Inter-City
SHP0159,ORD0159,WH005,VEH018,DRV032,RT020,2025-12-03,2025-12-07,2025-12-05,505.94,3633.53,Delivered,Local
SHP0160,ORD0160,WH008,VEH012,DRV044,RT007,2025-12-10,2025-12-16,2025-12-19,669.01,2772.5,Delayed,Inter-City
SHP0161,ORD0161,WH004,VEH018,DRV026,RT002,2024-02-11,2024-02-13,2024-02-13,281.74,1074.17,Delivered,Local
SHP0162,ORD0162,WH007,VEH003,DRV037,RT019,2024-11-24,2024-11-25,2024-11-24,71.08,498.35,Delivered,Inter-City
SHP0163,ORD0163,WH003,VEH007,DRV047,RT019,2024-04-05,2024-04-06,2024-04-06,644.7,1937.25,Delivered,Local
SHP0164,ORD0164,WH010,VEH012,DRV043,RT001,2024-04-04,2024-04-07,2024-04-09,480.58,2846.25,Delayed,Inter-City
SHP0165,ORD0165,WH009,VEH007,DRV004,RT020,2024-07-20,2024-07-21,2024-07-19,418.51,2017.46,Delivered,Inter-City
SHP0166,ORD0166,WH004,VEH019,DRV032,RT003,2025-09-15,2025-09-16,2025-09-16,400.83,2324.71,Delivered,Inter-City
SHP0167,ORD0167,WH003,VEH004,DRV014,RT006,2024-04-30,2024-05-07,2024-05-05,924.37,7173.74,Delivered,Inter-City
SHP0168,ORD0168,WH007,VEH015,DRV049,RT005,2024-02-24,2024-02-25,2024-02-23,772.52,4666.5,Delivered,Inter-City
SHP0169,ORD0169,WH002,VEH004,DRV025,RT013,2024-04-17,2024-04-19,2024-04-19,46.64,266.08,Delivered,Inter-City
SHP0170,ORD0170,WH001,VEH015,DRV009,RT011,2025-11-08,2025-11-14,2025-11-19,761.15,5780.49,Delayed,Inter-City
SHP0171,ORD0171,WH004,VEH020,DRV048,RT007,2024-02-07,2024-02-10,2024-02-08,196.48,841.27,Delivered,Inter-City
SHP0172,ORD0172,WH004,VEH018,DRV001,RT006,2025-04-11,2025-04-17,2025-04-15,812.2,5409.16,Delivered,Local
SHP0173,ORD0173,WH002,VEH005,DRV049,RT010,2024-06-29,2024-06-30,2024-06-30,288.03,1941.04,Delivered,Local
SHP0174,ORD0174,WH007,VEH017,DRV009,RT011,2024-01-09,2024-01-14,2024-01-14,666.6,5260.74,In Transit,Inter-City
SHP0175,ORD0175,WH003,VEH020,DRV019,RT013,2024-05-11,2024-05-12,2024-05-12,840.79,4665.05,Returned,Inter-City
SHP0176,ORD0176,WH006,VEH012,DRV047,RT013,2024-03-08,2024-03-15,2024-03-13,737.3,1480.07,Delivered,Inter-City
SHP0177,ORD0177,WH004,VEH019,DRV039,RT012,2024-05-11,2024-05-18,2024-05-16,585.54,4064.21,Delivered,Inter-City
SHP0178,ORD0178,WH002,VEH008,DRV030,RT004,2024-05-25,2024-05-28,2024-05-28,426.74,1772.72,Delivered,Inter-City
SHP0179,ORD0179,WH006,VEH018,DRV024,RT013,2024-11-10,2024-11-17,2024-11-17,215.95,466.94,Delivered,Inter-City
SHP0180,ORD0180,WH002,VEH005,DRV002,RT005,2025-05-08,2025-05-09,2025-05-08,127.5,724.9,Delivered,Local
SHP0181,ORD0181,WH008,VEH008,DRV036,RT016,2024-10-11,2024-10-12,2024-10-12,601.07,1424.0,Delivered,Inter-City
SHP0182,ORD0182,WH002,VEH014,DRV028,RT019,2024-01-23,2024-01-27,2024-01-27,134.34,961.88,Delivered,Inter-City
SHP0183,ORD0183,WH009,VEH004,DRV022,RT011,2024-09-24,2024-10-01,2024-10-01,828.63,5060.19,Delivered,Local
SHP0184,ORD0184,WH001,VEH008,DRV045,RT010,2024-02-03,2024-02-05,2024-02-05,63.35,133.11,Returned,Inter-City
SHP0185,ORD0185,WH006,VEH013,DRV032,RT019,2025-10-17,2025-10-21,2025-10-20,426.07,2863.63,Delivered,Inter-City
SHP0186,ORD0186,WH010,VEH003,DRV024,RT015,2025-08-27,2025-09-02,2025-09-01,375.11,1707.13,Delivered,Inter-City
SHP0187,ORD0187,WH003,VEH008,DRV017,RT016,2024-04-18,2024-04-20,2024-04-19,464.44,936.49,Delivered,Inter-City
SHP0188,ORD0188,WH001,VEH018,DRV004,RT004,2025-06-10,2025-06-11,2025-06-11,211.18,1443.75,Delivered,Inter-City
SHP0189,ORD0189,WH007,VEH018,DRV015,RT004,2025-04-05,2025-04-09,2025-04-08,764.63,1942.07,Delivered,Inter-City
SHP0190,ORD0190,WH003,VEH014,DRV034,RT002,2025-07-11,2025-07-12,2025-07-10,101.94,648.4,Delivered,Inter-City
SHP0191,ORD0191,WH006,VEH015,DRV007,RT005,2025-08-29,2025-08-30,2025-08-28,112.64,456.9,Delivered,Inter-City
SHP0192,ORD0192,WH001,VEH015,DRV006,RT007,2025-06-04,2025-06-05,2025-06-04,455.7,1585.39,Delivered,Inter-City
SHP0193,ORD0193,WH008,VEH008,DRV022,RT003,2024-02-18,2024-02-25,2024-02-24,364.32,1888.69,Delivered,Inter-City
SHP0194,ORD0194,WH005,VEH016,DRV020,RT007,2025-02-14,2025-02-16,2025-02-16,705.54,1516.02,Delivered,Local
SHP0195,ORD0195,WH010,VEH014,DRV012,RT012,2025-06-28,2025-07-05,2025-07-03,677.98,3173.57,Delivered,Local
SHP0196,ORD0196,WH007,VEH020,DRV017,RT016,2024-01-31,2024-02-02,2024-02-02,563.45,2255.25,Delivered,Local
SHP0197,ORD0197,WH004,VEH020,DRV026,RT006,2025-03-26,2025-03-29,2025-03-28,890.19,4113.44,Delivered,Inter-City
