order_id,customer_id,order_date,product_category,order_value,payment_mode
ORD0056,CUST170,2025-04-28,Electronics,49642,UPI
ORD0057,CUST395,2024-05-20,Electronics,41067,UPI
ORD0058,CUST476,2024-06-10,Food,2448,UPI
ORD0059,CUST245,2025-10-28,Furniture,27769,Net Banking
ORD0060,CUST494,2024-10-21,Clothing,3338,Card
ORD0061,CUST331,2024-03-01,Electronics,47749,Net Banking
ORD0062,CUST294,2024-08-25,Healthcare,13102,UPI
ORD0063,CUST371,2024-02-08,Furniture,16693,UPI
ORD0064,CUST452,2024-06-29,Electronics,31017,UPI
ORD0065,CUST404,2025-05-22,Furniture,27543,UPI
ORD0066,CUST493,2024-10-23,Electronics,5607,Card
ORD0067,CUST153,2025-08-04,Healthcare,2758,UPI
ORD0068,CUST476,2024-12-09,Clothing,4722,UPI
ORD0069,CUST329,2025-07-10,Healthcare,9092,COD
ORD0070,CUST456,2024-05-17,Healthcare,8668,UPI
ORD0071,CUST140,2024-07-16,Electronics,26671,Card
ORD0072,CUST084,2025-04-14,Automotive,10430,Net Banking
ORD0073,CUST368,2024-07-09,Electronics,27092,UPI
ORD0074,CUST405,2024-10-29,Healthcare,12049,Card
ORD0075,CUST388,2024-07-16,Furniture,23019,COD
ORD0076,CUST439,2025-10-16,Food,2251,COD
ORD0077,CUST264,2024-12-01,Electronics,31269,UPI
ORD0078,CUST343,2024-04-07,Furniture,7607,COD
ORD0079,CUST245,2024-11-27,Furniture,3223,Card
ORD0080,CUST134,2025-01-27,Furniture,17638,UPI
ORD0081,CUST386,2024-09-30,Clothing,3473,Card
ORD0082,CUST299,2025-08-09,Electronics,22141,COD
ORD0083,CUST335,2025-01-03,Automotive,9743,Card
ORD0084,CUST032,2025-11-14,Electronics,35500,UPI
ORD0085,CUST158,2024-06-12,Food,2558,Card
ORD0086,CUST473,2025-12-21,Clothing,6654,UPI
ORD0087,CUST061,2025-10-16,Clothing,4010,UPI
ORD0088,CUST315,2024-08-14,Furniture,7376,UPI
ORD0089,CUST245,2024-06-05,Food,2981,UPI
ORD0090,CUST192,2025-03-01,Automotive,19997,UPI
ORD0091,CUST468,2025-04-27,Healthcare,14139,UPI
ORD0092,CUST341,2024-08-11,Furniture,25293,Card
ORD0093,CUST387,2025-09-02,Electronics,39439,UPI
ORD0094,CUST229,2025-06-24,Automotive,13854,UPI
ORD0095,CUST040,2025-07-31,Electronics,9047,COD
ORD0096,CUST425,2025-07-14,Healthcare,4312,Card
ORD0097,CUST294,2025-07-03,Furniture,8391,Card
ORD0098,CUST168,2025-06-16,Food,976,UPI
ORD0099,CUST349,2024-07-29,Automotive,21108,UPI
ORD0100,CUST251,2024-04-03,Healthcare,8298,UPI
ORD0101,CUST415,2024-02-26,Food,1040,UPI
ORD0102,CUST263,2025-03-01,Food,2809,UPI
ORD0103,CUST030,2025-07-26,Food,1762,UPI
ORD0104,CUST371,2024-01-23,Food,1542,UPI
ORD0105,CUST419,2024-01-04,Automotive,9140,UPI
ORD0106,CUST297,2024-03-15,Electronics,32767,Card
ORD0107,CUST177,2025-12-18,Electronics,40465,UPI
ORD0108,CUST031,2024-03-11,Food,629,UPI
ORD0109,CUST147,2025-02-22,Furniture,28197,Card
ORD0110,CUST070,2025-10-18,Automotive,23164,Card
ORD0111,CUST494,2025-03-06,Clothing,4133,UPI
ORD0112,CUST230,2025-01-21,Food,828,Net Banking
ORD0113,CUST350,2025-11-08,Healthcare,3178,Card
ORD0114,CUST335,2024-12-22,Electronics,16696,UPI
ORD0115,CUST276,2025-02-06,Healthcare,3086,COD
ORD0116,CUST373,2024-08-16,Electronics,6489,COD
ORD0117,CUST153,2025-04-19,Automotive,19840,UPI
ORD0118,CUST218,2025-06-28,Food,1440,UPI
ORD0119,CUST127,2025-04-16,Clothing,2270,COD
ORD0120,CUST142,2024-07-12,Automotive,5697,Net Banking
ORD0121,CUST017,2025-11-07,Food,564,UPI
ORD0122,CUST124,2024-07-30,Electronics,11612,UPI
ORD0123,CUST305,2024-02-04,Food,2948,UPI
ORD0124,CUST345,2025-12-21,Electronics,21038,Card
ORD0125,CUST380,2024-02-15,Food,2297,Card
ORD0126,CUST120,2025-07-06,Furniture,27719,UPI
ORD0127,CUST443,2024-02-27,Furniture,19511,Card
ORD0128,CUST149,2024-08-27,Automotive,20877,Net Banking
ORD0129,CUST164,2025-08-14,Healthcare,13657,UPI
ORD0130,CUST345,2024-11-24,Furniture,12888,UPI
ORD0131,CUST449,2024-05-26,Automotive,19080,Net Banking
ORD0132,CUST114,2025-02-27,Clothing,3254,COD
ORD0133,CUST032,2025-07-24,Healthcare,13045,Card
ORD0134,CUST467,2024-06-28,Automotive,24241,Card
ORD0135,CUST219,2025-07-23,Food,692,UPI
ORD0136,CUST498,2024-12-18,Automotive,23998,UPI
ORD0137,CUST196,2025-06-21,Clothing,6704,Card
ORD0138,CUST214,2025-02-22,Furniture,12826,UPI
ORD0139,CUST193,2024-07-07,Healthcare,8758,UPI
ORD0140,CUST124,2024-08-18,Clothing,6796,UPI
ORD0141,CUST074,2025-04-19,Electronics,41856,UPI
ORD0142,CUST212,2025-03-02,Healthcare,9683,UPI
ORD0143,CUST069,2025-02-01,Furniture,11355,UPI
ORD0144,CUST105,2024-12-04,Automotive,4590,UPI
ORD0145,CUST473,2025-04-05,Clothing,1757,UPI
ORD0146,CUST275,2024-07-14,Electronics,22593,COD
ORD0147,CUST194,2025-11-20,Healthcare,10878,Card
ORD0148,CUST021,2024-03-15,Furniture,29366,Card
ORD0149,CUST390,2025-08-24,Automotive,24002,Net Banking
ORD0150,CUST287,2024-08-10,Food,1355,Card
ORD0151,CUST446,2024-12-06,Clothing,1125,UPI
ORD0152,CUST109,2024-07-13,Automotive,5844,Card
ORD0153,CUST383,2025-05-05,Furniture,25794,Card
ORD0154,CUST310,2025-12-21,Furniture,15996,Net Banking
ORD0155,CUST469,2024-09-02,Healthcare,6269,UPI
ORD0156,CUST398,2024-10-16,Food,2409,UPI
ORD0157,CUST274,2025-10-26,Clothing,3526,UPI
ORD0158,CUST134,2025-01-03,Healthcare,9147,UPI
ORD0159,CUST239,2024-04-10,Automotive,17384,Card
ORD0160,CUST390,2024-11-23,Furniture,15147,Card
ORD0161,CUST161,2025-02-27,Electronics,41865,UPI
ORD0162,CUST443,2024-08-14,Automotive,6781,COD
ORD0163,CUST009,2024-09-24,Healthcare,10568,Card
ORD0164,CUST297,2025-03-03,Clothing,2248,UPI
ORD0165,CUST101,2024-12-03,Furniture,15446,UPI
ORD0166,CUST292,2024-09-08,Food,2755,UPI
ORD0167,CUST336,2025-12-02,Clothing,3108,UPI
ORD0168,CUST391,2025-05-15,Automotive,23027,UPI
ORD0169,CUST379,2025-05-17,Food,1189,UPI
ORD0170,CUST376,2024-12-26,Furniture,7586,UPI
ORD0171,CUST369,2025-07-13,Food,1253,UPI
ORD0172,CUST470,2025-07-09,Automotive,3924,COD
ORD0173,CUST269,2024-02-04,Electronics,48792,UPI
ORD0174,CUST025,2024-01-07,Food,1063,Card
ORD0175,CUST432,2025-10-07,Furniture,5227,UPI
ORD0176,CUST363,2024-06-03,Electronics,19334,COD
ORD0177,CUST259,2025-04-11,Clothing,1495,UPI
ORD0178,CUST317,2025-10-15,Automotive,22202,UPI
ORD0179,CUST468,2025-05-09,Automotive,17986,COD
ORD0180,CUST009,2024-01-07,Healthcare,10038,COD
ORD0181,CUST211,2024-01-13,Electronics,39695,COD
ORD0182,CUST370,2024-10-08,Healthcare,5697,UPI
ORD0183,CUST009,2025-05-29,Automotive,24086,UPI
ORD0184,CUST221,2024-07-02,Electronics,11312,Card
ORD0185,CUST269,2024-06-01,Furniture,9289,COD
ORD0186,CUST318,2025-06-23,Clothing,7678,Card
ORD0187,CUST182,2024-09-30,Food,823,Card
ORD0188,CUST192,2025-02-19,Food,2814,UPI
ORD0189,CUST125,2025-12-14,Furniture,12829,Net Banking
ORD0190,CUST351,2024-03-23,Automotive,23295,UPI
ORD0191,CUST389,2024-02-02,Electronics,31560,UPI
ORD0192,CUST195,2025-01-21,Healthcare,8798,UPI
ORD0193,CUST029,2025-10-14,Electronics,16231,Card
ORD0194,CUST043,2025-05-26,Food,1856,UPI
ORD0195,CUST290,2024-04-07,Healthcare,1697,UPI
ORD0196,CUST118,2024-08-04,Automotive,20572,Card
ORD0197,CUST244,2024-10-04,Electronics,9872,UPI
ORD0198,CUST351,2024-10-14,Healthcare,10232,Card
ORD0199,CUST337,2024-02-03,Furniture,13305,UPI
ORD0200,CUST009,2024-07-31,Healthcare,3362,Card
ORD0201,CUST386,2025-12-30,Food,815,Card
ORD0202,CUST154,2024-06-15,Healthcare,4939,UPI
ORD0203,CUST291,2025-02-02,Automotive,19713,UPI
ORD0204,CUST170,2025-01-28,Automotive,6585,UPI
ORD0205,CUST405,2025-12-06,Automotive,4569,UPI
ORD0206,CUST257,2024-12-20,Electronics,11401,COD
ORD0207,CUST224,2024-08-25,Electronics,27321,UPI
ORD0208,CUST310,2025-09-20,Healthcare,7499,COD
ORD0209,CUST497,2024-11-30,Electronics,46557,UPI
ORD0210,CUST140,2025-04-06,Food,1434,Card
ORD0211,CUST183,2025-07-20,Food,2268,Net Banking
ORD0212,CUST096,2025-11-27,Healthcare,11824,Card
ORD0213,CUST195,2024-03-28,Healthcare,5839,Card
ORD0214,CUST409,2024-09-09,Automotive,4408,UPI
ORD0215,CUST043,2024-10-01,Furniture,15451,UPI
ORD0216,CUST365,2025-10-11,Furniture,27237,COD
ORD0217,CUST200,2024-11-20,Clothing,1872,COD
ORD0218,CUST047,2024-01-06,Clothing,4643,COD
ORD0219,CUST185,2024-10-03,Electronics,13683,UPI
ORD0220,CUST045,2024-07-10,Food,2338,Net Banking
ORD0221,CUST286,2025-07-22,Healthcare,7685,COD
ORD0222,CUST053,2024-01-27,Electronics,28194,UPI
ORD0223,CUST284,2024-04-05,Healthcare,10798,UPI
ORD0224,CUST402,2024-11-28,Food,550,Net Banking
ORD0225,CUST150,2025-02-27,Food,846,Card
ORD0226,CUST372,2025-07-26,Furniture,21741,COD
ORD0227,CUST267,2024-06-22,Automotive,14475,UPI
ORD0228,CUST087,2024-05-22,Clothing,3466,Net Banking
ORD0229,CUST138,2025-05-19,Furniture,5073,UPI
ORD0230,CUST086,2025-03-21,Clothing,4449,UPI
ORD0231,CUST154,2025-05-10,Electronics,28666,UPI
ORD0232,CUST129,2024-09-09,Automotive,22481,COD
ORD0233,CUST254,2025-08-31,Healthcare,4203,Card
ORD0234,CUST235,2024-04-19,Furniture,12983,Card
ORD0235,CUST004,2025-02-09,Clothing,7894,UPI
ORD0236,CUST318,2025-01-24,Clothing,4606,COD
ORD0237,CUST172,2025-03-16,Automotive,21477,UPI
ORD0238,CUST070,2024-11-03,Clothing,5941,COD
ORD0239,CUST486,2025-12-12,Furniture,18696,UPI
ORD0240,CUST161,2024-06-30,Food,1807,UPI
ORD0241,CUST150,2025-12-12,Automotive,18089,Card
ORD0242,CUST496,2025-08-12,Furniture,13678,UPI
ORD0243,CUST193,2024-10-14,Food,1995,Net Banking
ORD0244,CUST059,2025-07-31,Furniture,22406,Card
ORD0245,CUST280,2024-07-03,Automotive,20025,UPI
ORD0246,CUST014,2025-04-17,Automotive,8869,COD
ORD0247,CUST225,2024-10-25,Automotive,4266,UPI
ORD0248,CUST420,2025-02-22,Automotive,18361,Card
ORD0249,CUST072,2025-10-10,Clothing,2982,COD
ORD0250,CUST130,2025-11-05,Furniture,26436,Card
ORD0251,CUST217,2025-01-21,Electronics,34430,UPI
ORD0252,CUST307,2025-05-05,Healthcare,7566,COD
ORD0253,CUST274,2025-06-02,Automotive,15706,Card
ORD0254,CUST279,2024-02-07,Clothing,6747,UPI
ORD0255,CUST459,2025-07-03,Healthcare,11455,UPI
ORD0256,CUST469,2024-03-28,Electronics,21268,Net Banking
ORD0257,CUST337,2025-11-11,Clothing,2362,Card
ORD0258,CUST332,2025-09-19,Electronics,41911,Card
ORD0259,CUST331,2025-11-24,Automotive,15094,COD
ORD0260,CUST496,2024-12-05,Food,933,Net Banking
ORD0261,CUST006,2024-04-10,Clothing,2818,UPI
ORD0262,CUST262,2025-06-15,Healthcare,10511,UPI
ORD0263,CUST353,2025-08-12,Furniture,17607,UPI
ORD0264,CUST192,2025-02-04,Food,2910,Net Banking
ORD0265,CUST354,2025-05-27,Furniture,14303,UPI
ORD0266,CUST013,2025-05-09,Electronics,24361,Card
ORD0267,CUST213,2024-03-28,Electronics,14284,Net Banking
ORD0268,CUST179,2024-11-15,Clothing,4730,COD
ORD0269,CUST402,2024-07-30,Healthcare,8912,UPI
ORD0270,CUST179,2025-05-02,Electronics,33715,COD
ORD0271,CUST370,2025-12-14,Food,1806,UPI
ORD0272,CUST035,2024-11-03,Electronics,12542,COD
ORD0273,CUST012,2024-12-17,Automotive,5583,UPI
ORD0274,CUST347,2024-06-17,Automotive,9992,UPI
ORD0275,CUST265,2024-06-27,Healthcare,3623,Net Banking
ORD0276,CUST170,2025-07-27,Food,2392,UPI
ORD0277,CUST119,2025-02-18,Automotive,8044,UPI
ORD0278,CUST096,2025-10-17,Automotive,16160,Net Banking
ORD0279,CUST203,2024-01-30,Automotive,22123,Net Banking
ORD0280,CUST453,2024-07-21,Food,2925,Card
ORD0281,CUST220,2025-02-02,Electronics,19076,Card
ORD0282,CUST106,2024-10-12,Automotive,4050,Card
ORD0283,CUST296,2024-04-14,Healthcare,4063,UPI
ORD0284,CUST188,2024-11-29,Furniture,17993,UPI
ORD0285,CUST059,2024-09-25,Automotive,18039,UPI
ORD0286,CUST271,2025-10-16,Clothing,5890,COD
ORD0287,CUST199,2025-09-17,Food,2904,Card
ORD0288,CUST059,2024-12-22,Clothing,7926,UPI
ORD0289,CUST235,2025-09-24,Furniture,29664,Card
ORD0290,CUST345,2025-12-23,Clothing,6033,COD
ORD0291,CUST303,2024-03-27,Automotive,6389,UPI
ORD0292,CUST161,2024-04-30,Furniture,13006,Card
ORD0293,CUST060,2024-07-06,Clothing,6680,Card
ORD0294,CUST073,2025-06-07,Food,2213,Card
ORD0295,CUST306,2024-05-21,Healthcare,7286,UPI
ORD0296,CUST217,2024-07-09,Food,2701,COD
ORD0297,CUST356,2025-10-22,Furniture,21183,COD
ORD0298,CUST086,2025-05-16,Clothing,2149,Card
ORD0299,CUST096,2024-11-18,Food,719,Card
ORD0300,CUST444,2025-01-02,Electronics,36759,COD
ORD0301,CUST070,2024-07-18,Food,2800,Net Banking
ORD0302,CUST259,2025-10-30,Food,2175,UPI
ORD0303,CUST351,2025-05-18,Food,2318,Card
ORD0304,CUST251,2024-06-20,Electronics,42053,Card
ORD0305,CUST016,2024-08-13,Clothing,1267,UPI
ORD0306,CUST141,2024-08-18,Healthcare,5729,Net Banking
ORD0307,CUST087,2025-04-13,Healthcare,13165,COD
ORD0308,CUST396,2025-05-22,Healthcare,9369,COD
ORD0309,CUST058,2025-08-09,Electronics,22556,Card
ORD0310,CUST397,2025-07-10,Clothing,5440,UPI
ORD0311,CUST422,2024-02-12,Automotive,16462,COD
ORD0312,CUST280,2024-08-11,Food,919,COD
ORD0313,CUST377,2025-10-31,Furniture,12755,UPI
ORD0314,CUST448,2024-02-03,Food,1576,COD
ORD0315,CUST179,2024-03-30,Food,980,COD
ORD0316,CUST398,2024-08-30,Furniture,29565,Card
ORD0317,CUST378,2025-08-25,Automotive,13489,Card
ORD0318,CUST441,2025-12-28,Healthcare,11367,UPI
ORD0319,CUST220,2024-06-18,Healthcare,3281,UPI
ORD0320,CUST402,2024-07-30,Furniture,29392,UPI
ORD0321,CUST031,2025-08-06,Clothing,5360,COD
ORD0322,CUST144,2025-09-03,Healthcare,3758,UPI
ORD0323,CUST166,2025-12-21,Clothing,3370,UPI
ORD0324,CUST294,2024-09-30,Healthcare,12129,UPI
ORD0325,CUST418,2024-04-07,Furniture,27579,Card
ORD0326,CUST403,2025-02-25,Electronics,23174,COD
ORD0327,CUST444,2025-11-02,Furniture,25984,UPI
ORD0328,CUST444,2024-05-15,Furniture,7792,UPI
ORD0329,CUST365,2024-11-25,Furniture,27951,Net Banking
ORD0330,CUST432,2025-11-23,Food,2504,Card
ORD0331,CUST073,2025-08-14,Automotive,10805,UPI
ORD0332,CUST322,2025-02-28,Food,2351,Card
ORD0333,CUST039,2025-10-10,Electronics,31401,UPI
ORD0334,CUST264,2024-10-11,Automotive,14093,UPI
ORD0335,CUST233,2025-05-14,Clothing,5767,Card
ORD0336,CUST002,2024-04-05,Automotive,17022,UPI
ORD0337,CUST326,2025-11-11,Automotive,13738,COD
ORD0338,CUST436,2024-03-05,Healthcare,7516,UPI
ORD0339,CUST112,2025-03-15,Furniture,19210,Card
ORD0340,CUST138,2024-11-26,Clothing,3766,Card
ORD0341,CUST281,2025-08-14,Furniture,21551,UPI
ORD0342,CUST437,2025-05-11,Clothing,6591,Card
ORD0343,CUST391,2024-02-19,Electronics,11525,UPI
ORD0344,CUST321,2025-04-15,Electronics,13142,COD
ORD0345,CUST476,2024-06-10,Food,2369,UPI
ORD0346,CUST001,2025-03-14,Furniture,25563,UPI
ORD0347,CUST466,2024-05-15,Automotive,11891,UPI
ORD0348,CUST082,2024-10-07,Electronics,47899,COD
ORD0349,CUST185,2024-09-13,Electronics,29369,Card
ORD0350,CUST341,2025-10-26,Furniture,4696,Card
ORD0351,CUST203,2025-10-02,Clothing,6947,UPI
ORD0352,CUST359,2024-08-27,Food,873,Net Banking
ORD0353,CUST361,2024-04-07,Electronics,18986,UPI
ORD0354,CUST245,2024-03-20,Furniture,22453,COD
ORD0355,CUST116,2025-06-15,Automotive,16583,UPI
ORD0356,CUST005,2024-01-09,Automotive,13258,UPI
ORD0357,CUST419,2024-05-03,Food,1041,UPI
ORD0358,CUST245,2024-03-13,Furniture,15552,Card
ORD0359,CUST046,2024-04-14,Electronics,25535,Card
ORD0360,CUST189,2024-11-02,Furniture,15541,UPI
ORD0361,CUST397,2024-05-16,Automotive,24188,Net Banking
ORD0362,CUST074,2024-03-11,Healthcare,10228,Card
ORD0363,CUST005,2025-09-16,Automotive,7377,Card
ORD0364,CUST226,2024-12-25,Automotive,8981,UPI
ORD0365,CUST322,2024-06-04,Food,2312,UPI
ORD0366,CUST441,2024-08-10,Electronics,11584,Card
ORD0367,CUST072,2024-05-06,Healthcare,12960,UPI
ORD0368,CUST197,2024-12-25,Food,1788,UPI
ORD0369,CUST406,2024-05-23,Furniture,12075,COD
ORD0370,CUST331,2024-03-27,Furniture,21133,COD
ORD0371,CUST308,2025-09-06,Automotive,21909,UPI
ORD0372,CUST146,2025-12-08,Electronics,48149,UPI
ORD0373,CUST449,2024-11-04,Furniture,19965,Card
ORD0374,CUST311,2025-06-05,Furniture,27505,UPI
ORD0375,CUST201,2024-10-29,Automotive,3788,UPI
ORD0376,CUST402,2024-09-02,Food,2080,UPI
ORD0377,CUST058,2024-09-03,Food,2932,Net Banking
ORD0378,CUST037,2025-06-24,Electronics,28664,Card
ORD0379,CUST479,2024-11-20,Furniture,15675,UPI
ORD0380,CUST441,2025-08-05,Food,1996,UPI
ORD0381,CUST280,2025-11-30,Furniture,27993,UPI
ORD0382,CUST242,2024-03-15,Electronics,43493,Card
ORD0383,CUST035,2024-01-15,Clothing,2767,UPI
ORD0384,CUST021,2024-03-02,Food,2575,UPI
ORD0385,CUST147,2025-10-05,Automotive,18418,Net Banking
ORD0386,CUST393,2025-03-01,Food,2147,UPI
ORD0387,CUST043,2025-10-17,Healthcare,9808,Card
ORD0388,CUST316,2024-06-05,Clothing,1684,UPI
ORD0389,CUST159,2024-03-21,Healthcare,4329,UPI
ORD0390,CUST499,2024-06-08,Healthcare,6353,UPI
ORD0391,CUST201,2025-08-23,Automotive,23293,Net Banking
ORD0392,CUST349,2025-10-20,Electronics,25327,COD
ORD0393,CUST358,2025-03-23,Automotive,9819,COD
ORD0394,CUST030,2024-09-07,Electronics,33474,UPI
ORD0395,CUST060,2025-04-09,Healthcare,10975,Card
ORD0396,CUST029,2024-11-12,Automotive,23563,UPI
ORD0397,CUST380,2024-06-28,Electronics,5830,UPI
ORD0398,CUST363,2024-05-20,Automotive,2371,COD
ORD0399,CUST084,2025-05-23,Clothing,5284,UPI
ORD0400,CUST265,2024-09-22,Furniture,15185,UPI
ORD0401,CUST065,2024-10-02,Automotive,5868,UPI
ORD0402,CUST395,2024-01-31,Clothing,7611,UPI
ORD0403,CUST220,2024-10-05,Healthcare,2046,UPI
ORD0404,CUST135,2025-12-30,Healthcare,11281,Card
ORD0405,CUST040,2025-05-23,Food,2592,UPI
ORD0406,CUST185,2024-02-26,Food,2821,COD
ORD0407,CUST086,2025-01-11,Furniture,11359,COD
ORD0408,CUST396,2024-04-15,Healthcare,12044,UPI
ORD0409,CUST371,2024-04-28,Furniture,27273,UPI
ORD0410,CUST261,2024-01-03,Electronics,5805,UPI
ORD0411,CUST126,2024-02-17,Food,1990,Card
ORD0412,CUST197,2024-06-02,Furniture,4158,UPI
ORD0413,CUST284,2025-11-02,Food,1419,Card
ORD0414,CUST165,2024-09-11,Food,1810,UPI
ORD0415,CUST139,2024-03-20,Healthcare,7108,Card
ORD0416,CUST062,2025-05-29,Automotive,3725,UPI
ORD0417,CUST092,2024-08-16,Healthcare,1752,UPI
ORD0418,CUST489,2025-02-14,Electronics,35480,COD
ORD0419,CUST444,2024-10-16,Clothing,3681,Net Banking
ORD0420,CUST045,2025-07-20,Food,532,UPI
ORD0421,CUST189,2024-07-24,Clothing,5618,COD
ORD0422,CUST402,2024-11-07,Automotive,22405,Card
ORD0423,CUST125,2025-04-20,Clothing,5847,COD
ORD0424,CUST498,2025-05-20,Furniture,27001,Net Banking
ORD0425,CUST462,2025-07-13,Furniture,7933,UPI
ORD0426,CUST004,2025-02-23,Electronics,20269,UPI
ORD0427,CUST278,2024-12-20,Automotive,24723,UPI
ORD0428,CUST450,2024-01-10,Clothing,1011,Card
ORD0429,CUST389,2025-11-04,Food,1759,Card
ORD0430,CUST054,2024-07-29,Healthcare,4902,UPI
ORD0431,CUST215,2025-05-18,Electronics,14330,UPI
ORD0432,CUST365,2024-10-13,Electronics,7877,COD
ORD0433,CUST472,2024-08-25,Healthcare,7767,COD
ORD0434,CUST359,2025-01-16,Food,847,Card
ORD0435,CUST298,2024-04-07,Healthcare,3187,UPI
ORD0436,CUST327,2025-02-07,Electronics,43790,UPI
ORD0437,CUST291,2024-03-04,Food,1035,UPI
ORD0438,CUST122,2024-10-25,Clothing,7970,COD
ORD0439,CUST162,2025-02-06,Automotive,12690,UPI
ORD0440,CUST163,2025-04-08,Clothing,2913,Card
ORD0441,CUST039,2024-07-26,Furniture,28556,UPI
ORD0442,CUST395,2025-08-21,Electronics,15184,Card
ORD0443,CUST055,2024-06-17,Food,2408,Card
ORD0444,CUST161,2025-02-20,Electronics,40122,COD
ORD0445,CUST184,2024-07-31,Food,1762,UPI
ORD0446,CUST238,2024-09-28,Electronics,10925,UPI
ORD0447,CUST081,2025-12-03,Clothing,7769,UPI
ORD0448,CUST361,2025-12-14,Healthcare,1660,COD
ORD0449,CUST111,2024-12-01,Furniture,5988,COD
ORD0450,CUST365,2024-09-11,Clothing,4246,Card
ORD0451,CUST263,2024-02-20,Automotive,11792,Card
ORD0452,CUST134,2024-06-27,Electronics,31502,Card
ORD0453,CUST438,2025-04-08,Healthcare,13256,UPI
ORD0454,CUST282,2024-09-12,Electronics,35280,COD
ORD0455,CUST053,2024-05-23,Electronics,5783,UPI
ORD0456,CUST032,2024-08-15,Furniture,9492,UPI
ORD0457,CUST422,2025-02-14,Clothing,6622,Card
ORD0458,CUST323,2025-10-22,Electronics,43163,UPI
ORD0459,CUST301,2024-09-22,Electronics,6428,UPI
ORD0460,CUST034,2024-07-21,Automotive,16530,Net Banking
ORD0461,CUST415,2024-05-11,Electronics,26728,UPI
ORD0462,CUST063,2024-02-13,Food,707,Card
ORD0463,CUST087,2025-08-10,Food,2117,UPI
ORD0464,CUST255,2024-01-31,Food,2247,UPI
ORD0465,CUST089,2024-12-28,Furniture,9132,UPI
ORD0466,CUST141,2024-10-13,Food,1108,UPI
ORD0467,CUST018,2025-09-20,Healthcare,11108,Net Banking
ORD0468,CUST126,2025-10-24,Clothing,5086,UPI
ORD0469,CUST211,2025-07-17,Food,749,Card
ORD0470,CUST045,2024-10-13,Food,1062,Card
ORD0471,CUST215,2024-07-23,Automotive,19229,Card
ORD0472,CUST128,2025-10-07,Healthcare,14022,COD
